(3, 150, 19),
(60, 157, 11),
(62, 201, 6),
(70, 199, 21),
(12, 164, 2),
(60, 189, 9),
(40, 157, 13),
(20, 207, 19),
(37, 198, 3),
(23, 207, 11),
(64, 168, 12),
(63, 156, 19),
(29, 148, 24),
(59, 209, 24),
(36, 192, 7),
(57, 208, 25),
(12, 183, 2),
(25, 192, 7),
(59, 200, 25),
(70, 141, 27),
(54, 151, 9),
(3, 143, 14),
(7, 163, 4),
(24, 146, 27),
(13, 147, 9),
(17, 141, 7),
(24, 155, 26),
(38, 182, 19),
(47, 178, 14),
(9, 190, 10),
(46, 146, 17),
(47, 197, 26),
(5, 157, 18),
(62, 176, 4),
(41, 148, 25),
(69, 153, 7),
(46, 153, 10),
(15, 170, 23),
(15, 153, 4),
(56, 151, 16),
(22, 193, 3),
(51, 177, 17),
(21, 151, 18),
(8, 189, 17),
(53, 185, 25),
(27, 186, 22),
(51, 155, 23),
(8, 200, 5),
(8, 160, 25),
(28, 156, 15);
